Author_id,Isbn
1,0195153445
2,0195153445
1,0195153448
2,0195153448
3,0002005018
4,0060973129
5,0374157065
6,0393045218
7,0393045218
8,0399135782
9,0425176428
10,0671870432
11,0671870432
12,0679425608
13,074322678X
14,0771074670
15,080652121X
16,0887841740
17,1552041778
18,1558746218
19,1558746218
20,1558746218
21,1567407781
22,1567407781
23,1575663937
24,1881320189
25,0440234743
26,0452264464
27,0609804618
28,0609804618
29,0609804618
30,1841721522
31,1841721522
32,1841721522
33,1879384493
34,0061076031
35,0439095026
36,0689821166
37,0689821166
38,0689821166
39,0971880107
40,0345402871
40,0345417623
41,0684823802
42,0375759778
43,0425163091
44,3404921038
45,3404921038
46,3404921038
47,3442353866
48,3442353866
49,3442410665
50,3442446937
51,3442446937
52,0375406328
53,0446310786
54,0449005615
55,0060168013
56,038078243X
57,055321215X
58,067176537X
59,0061099686
60,0553582909
61,0671888587
60,0553582747
62,0425182908
63,042518630X
64,0440223571
65,0812523873
66,0842342702
67,0842342702
25,0440225701
68,0060914068
69,0156047624
70,0245542957
71,0380715899
72,0553280333
73,0553280333
74,0553280333
75,0961769947
76,0964778319
77,0671623249
78,0679810307
78,0679865691
79,2070423204
80,0345260317
81,0394743741
82,042511774X
8,0804106304
83,1853262404
84,0312970242
85,0312970242
86,1853260053
87,1414035004
88,1414035004
89,0060938412
90,0140067477
54,0345465083
91,0451625889
92,1558531025
93,0441783589
94,0394895894
0,1569871213
95,0375410538
96,0966986105
97,087113375X
98,0340767936
99,0743403843
100,0060930365
101,0060177586
102,0071416331
103,0071416331
104,0375509038
105,0553062042
106,0316769487
107,0679429220
61,0671867156
108,0312252617
109,0312261594
110,0316748641
111,0316973742
112,0385235941
113,0446677450
114,0446677450
115,0451166892
116,0553347594
117,0671621009
118,067976397X
119,0684822733
120,0684822733
121,0786868716
122,0671864769
123,0671864769
124,0671521519
125,0440222303
126,0440222303
127,0312953453
128,0446608653
129,0446612545
130,0446612545
128,0446612618
131,0451208080
132,0553584383
133,0671027360
134,0812575954
135,0316735736
136,0743439740
137,0345372700
138,0380619458
137,0446325805
139,0451406923
140,0451406923
141,0451406923
142,0671042858
143,0743249992
144,0840734530
145,0425184226
146,0375500766
147,9724119378
148,0451205197
149,0060929790
150,0060976845
151,0061099325
61,0671004573
152,0446601640
153,0330484516
154,038572179X
155,0393020371
156,1900850303
157,1903019699
158,0345425294
159,0451410319
160,0553583468
161,0380778556
162,0451525221
163,0451525221
164,0002740230
165,0385336772
166,0440949424
167,0505524996
168,0140252800
169,0451452755
170,0812575482
152,044651747X
171,0060801263
172,0061030147
173,0061030147
174,0140250964
175,0446527165
176,0671461494
177,0385337639
178,039575514X
179,0451206673
180,0330332775
57,0486284735
181,0486284735
182,0671021745
182,0671047612
182,0671504282
183,0399138684
184,0785263292
185,0785263292
186,0830714014
187,0345354931
188,0553278223
189,3150000335
190,3150000335
188,3257203659
191,3257203659
192,3257207522
193,3257207522
188,3257208626
188,3257208634
194,3257208634
188,3257208669
195,3257208669
188,3257210450
196,3257210450
188,3257212054
188,3257212429
188,3257214154
197,3257214154
198,3257214154
188,3257216416
199,3257233051
200,3257233051
201,342311360X
202,3423116714
203,3423241489
204,3426605686
205,3426605686
206,3453212150
207,3462021095
208,3492045642
209,3492045642
210,3492045642
211,3498020862
212,3498020862
106,3499110695
213,3499110695
214,3499110695
215,3499110695
106,3499151502
213,3499151502
214,3499151502
216,3518111000
193,3518111000
217,3548254268
206,3570300099
218,3570300099
219,3596292646
220,0060977493
221,0312872682
129,0316602906
129,0316693006
50,0345311396
40,0345378490
50,0345404793
222,0345433173
223,0375400117
224,0375705856
225,0380717018
226,0380718332
227,0380754509
228,0380754509
229,038076654X
229,0380807866
230,0385316895
25,0385497466
25,0385508042
231,0385509456
25,0385511612
232,0385730586
233,0425164403
234,0440234964
129,0446605484
235,0446610399
236,0449006522
222,0449911004
142,0451162072
237,0451186648
238,0452282152
239,051513290X
240,0553580388
241,0590598848
242,0590629719
62,0671023616
133,0671027387
243,0684848783
133,0743486226
244,0786863986
245,0803251718
246,0804117934
247,140003180X
18,155874262X
19,155874262X
248,155874262X
249,0060987103
250,0151008116
251,0375704965
252,0525947647
253,0804111359
18,1558744150
19,1558744150
20,1558744150
254,0435272683
135,0316782505
255,006102063X
255,0060013117
255,0060199563
256,006052779X
257,006052779X
258,0060563079
259,0060809027
255,0061040967
260,0061040967
255,0061050474
255,0061052515
255,0061052523
261,0064472264
57,0140620664
262,0312148267
263,0312156960
264,0312890044
265,034543191X
266,034543191X
267,0373836023
268,0375751513
269,0375751513
270,0375801677
271,0375801677
272,0375814248
273,0375814248
94,0375823352
94,037582345X
94,0375823468
206,0380730448
188,0380973839
274,0385327773
275,0394586239
276,0439510112
277,0440241413
278,0451409256
279,0451523415
57,0451526279
280,0451526279
281,0451526341
282,0486415864
283,0553280589
55,0571197639
284,0670035262
285,0670035262
286,0670035262
287,0670035262
282,0679423079
275,0679751343
288,0684833395
289,0743245024
290,0749748001
290,0749748028
266,0963094424
291,1401201172
292,1401201172
293,1401201172
266,1563892278
294,1563892278
295,1563892278
296,1563892278
291,1563898586
266,156971620X
297,156971620X
298,1592571301
299,0374270325
300,0375719180
301,0440235502
25,044023722X
302,1573225487
86,1853260673
303,0060977477
304,0345391691
305,0520011171
306,0520011171
307,0553278746
308,0670856045
309,0670856045
310,0872200760
311,0872200760
312,0872200760
313,0937858994
314,0937858994
315,0937858994
316,0671649949
317,0590431110
318,0064470113
319,0553571486
320,0972044205
321,0312963009
322,0345430476
323,0345435869
324,0345435869
325,0380728729
326,038081840X
327,038081840X
328,0449912302
329,055329198X
330,0671018930
331,0812541642
332,0312988699
333,0486282112
181,0486282112
334,0670815373
335,0385313748
336,1575843366
62,0684193957
176,0345371984
337,0345371984
338,0380730138
339,1573228737
340,9681500555
341,0380711109
342,0452283914
145,0425120279
343,067153484X
344,0380728273
345,0446606197
346,0771076002
347,0771076002
348,0771088191
349,1559703237
350,3596214629
351,3596214629
352,0062770500
353,0671847546
354,0060188731
272,0140374248
355,0140374248
356,0142001740
357,0142001740
358,0195086295
359,0195086295
360,0195086295
133,0312995423
361,0380704587
362,0380815923
25,0385416342
363,0385418493
25,038542471X
364,0425098109
365,0449005410
366,0449202631
366,0449207544
367,0515128554
176,0517577402
368,0590450875
369,0590450875
370,0590450875
368,0590481371
369,0590481371
371,067103619X
372,0684177730
373,0684180200
371,0743411269
374,0743470389
375,076218857X
376,0767905938
377,0800706544
378,0801096677
379,0849953014
380,0891091963
381,0915811537
382,0927545373
383,1575024179
384,1880185008
385,0140345809
386,0156528207
387,0380012863
388,0451154916
389,0785815147
390,0875421288
391,1567184294
392,156718796X
393,1862047626
394,0020437501
395,0198320264
396,0198320264
397,0373196989
398,0373245580
399,0451527747
400,0451527747
61,0671867113
401,0812504208
150,0060173289
402,0060973897
403,0060973897
303,006101351X
404,0140104682
405,0312143370
406,0316666343
407,039456894X
408,0440224675
409,0449002632
410,0449213773
411,0452279690
410,0553569058
412,0679427430
413,0679725393
414,0802114369
415,0803233019
416,0803233019
417,0819154946
418,0897322339
419,0940322978
420,0940322978
421,1573225126
422,1579651658
423,1878424319
424,0600586898
425,1853260622
426,1857938011
427,0060804157
428,0140382658
429,0152012966
430,0312283784
187,0345297709
187,0345313097
431,0345335465
432,0345416848
433,0385333404
25,044021145X
434,0449212084
435,0553582682
436,0590947257
437,0590947257
438,074345829X
439,074345829X
440,0786913878
441,0801491827
442,0816729913
443,0843136685
444,0843136685
445,0843136685
446,0866119531
447,0866119531
448,0866119531
282,0866119566
449,0866119566
450,0870441663
451,0870441663
452,1561561428
453,1561561428
454,1561561428
162,0553210092
431,0553258524
334,0688163726
455,1569471096
456,055358099X
406,0316168815
309,014023828X
457,0316314927
349,0345424719
458,0375414746
459,0375726403
410,0385503857
460,0425156842
461,0440226104
462,0452277337
60,0553802488
463,0671021001
464,0767903579
465,0805063897
466,0679777431
467,0553285343
468,0486285529
179,0671002481
469,0812523385
470,0895774666
471,0020199090
472,0385495145
473,0679733825
66,0842329129
67,0842329129
474,0345451260
475,0740700235
476,0380973545
477,0380973545
478,0393321576
142,0743424425
479,0786868015
480,0786868015
481,0786868015
482,0446610178
483,0684854953
484,0684854953
61,0743229878
485,0380617625
486,0380732335
487,0385337132
488,0440235057
488,0445402040
489,0618119760
490,0871138646
491,0026329859
492,0060621257
55,0060915544
55,0060917016
493,0060925000
283,0060932759
151,0061000280
494,0192815318
495,0192815318
496,0312195516
497,0380792664
498,0393048977
183,0399137807
62,039914739X
64,0451203046
499,0451410556
500,0451523318
501,0486281965
502,0486292940
503,051762639X
413,0684824442
504,0743458303
505,081296666X
506,0819215635
507,0819215635
508,0819215635
509,0880011025
510,1561011525
511,1877727083
512,1877727083
513,0486206173
514,0486206173
515,0312278586
516,0312278586
517,0140370900
518,0674511255
519,0030096189
520,0030096189
521,0312965745
522,0345374657
523,0395710901
524,080521061X
525,0823032612
526,0679310002
527,0312288115
528,0316171107
529,0380710218
530,0515118656
531,0553289063
532,0671000306
61,0671673688
533,1561672033
534,0425178242
535,0425178242
536,0618173870
250,0156027321
537,0375403582
538,0385721420
539,0451202341
540,0743418190
541,0385335407
542,0965746828
543,0060923245
544,0486272664
545,0786015276
546,0786015276
547,0060913509
367,0553272837
548,0440225078
549,0312145543
60,0425181111
550,0380732688
551,0140286276
367,0373484100
365,0449907481
552,0553107305
553,080213825X
367,0515127833
554,0345441133
555,0515134279
556,0945586051
25,0385490992
25,0385424728
557,0312980388
558,0590419625
559,0590419625
25,0385472951
560,0451195663
561,0425182878
562,0425182878
563,0553564528
563,055356451X
61,0743412621
564,0849943728
565,0849943450
564,084994371X
41,0590406019
566,0020442408
567,0553225987
568,042517736X
136,0671868713
569,038549825X
570,0553202294
571,0345313860
571,0345369947
572,067170124X
573,0345353625
574,0308102282
575,006017143X
576,0805056491
577,0679401377
578,1562827049
579,1562827049
541,0385306032
580,0816152446
581,0821772953
582,0345379454
160,0553576925
61,0743206053
583,0688169678
584,0439319552
585,0439319552
